user_id,reading_id,performance_id,relative_difficulty,unknown_count,unique_word_count
48,2,SBQiyuqnLW9D5WAPj,0.007092199,1,141
48,3,HwSQzXjYn9ZyRnJRH,0.01183432,2,169
48,4,Y5qfkZMo9YnRtz4cn,0.023696682,5,211
48,5,mqzGdugEbY4ucDjhX,0.048648649,9,185
48,6,aR2f2SxSTgdP8isxy,0.053398058,11,206
49,0,G27QqyWj5KwtN9hxT,0,0,40
49,1,sTAN3zY5ekyN5JYAq,0,0,77
49,2,RNGtuCaLhqi8fHnvR,0,0,141
49,3,43jy7uSaYh4a45GSM,0.023668639,4,169
49,4,gsjFfJ8PLrmMEJokp,0,0,211
49,5,M5m5THCyb59ephDPh,0,0,185
49,6,y5Lm8Bixz4cEWYX2c,0,0,206
50,0,uPbocMQe9JNLgyTTk,0.075,3,40
50,1,mnBd37KCr8wRE83DN,0.012987013,1,77
50,2,zohdWveGHb8NppMaT,0.056737589,8,141
50,3,4CdMbqaoMXmqsbfTH,0.059171598,10,169
50,4,WSRTb37end79LikiZ,0.056872038,12,211
50,5,woCYXB56Zr93BdSH3,0.037837838,7,185
50,6,WEWA7CKapK28s5GzH,0.116504854,24,206
51,0,a4Yn55TeM4zosJAGY,0,0,40
51,1,CBZx8xteqnpLzccaw,0.012987013,1,77
51,2,8Squsu7GTj9epmBzr,0.007092199,1,141
51,3,mnetCfvsd37xCjM3v,0.017751479,3,169
51,4,KkMK2rPp2o6mH3F7v,0.018957346,4,211
51,5,CRJxNmcxsSBZeBukx,0.005405405,1,185
51,6,xJbDnGZyqwyAnrt3f,0.004854369,1,206
52,0,ncAEBRDZie8Kckc6y,0.025,1,40
52,1,dR3KfvRXqMmT3q9YD,0,0,77
52,2,7Fnt5vH6KBQv5fazr,0.014184397,2,141
52,3,dzeuctN5DSinojvgp,0.01183432,2,169
52,4,wNAbr8aZ3hz3Yrk9j,0.018957346,4,211
52,5,uNv7fACikC8uA3xjp,0.140540541,26,185
52,6,zLeizP4EWyHcyyXvQ,0.014563107,3,206
53,0,AJkLc5r9MjpgBpBup,0,0,40
53,1,cPnXDf7yLavQA8Tjr,0,0,77
53,2,BmXCKvckeDMrmqQdj,0.04964539,7,141
53,3,LG52kGi9y8uTJT9Wk,0.035502959,6,169
53,4,9jJCA4m9zHgzEAix8,0.023696682,5,211
53,5,DRqx52KjDfXWLq3kr,0.016216216,3,185
53,6,YSQPyPpTpHzmnH8kh,0.058252427,12,206
54,0,riG8gnmmQkMkXC57y,0.025,1,40
54,1,kaG9ZCCtewC8Da5yu,0.012987013,1,77
54,2,RojJ2mbgC9xkbdHAx,0.078014184,11,141
54,3,XpuaPkwnHWGBMdj9n,0.029585799,5,169
54,4,6vJLSHdSMaWmbyan4,0.037914692,8,211
54,5,s2QnfZcQCN7s2Xxki,0.054054054,10,185
54,6,saHo53mYj3TZL8NQ9,0.029126214,6,206
55,0,fDWjgXWbcq3Ky9o2g,0,0,40
55,1,L8Dw34ZAXsu8bwFXw,0.012987013,1,77
55,2,wixzMdhXnvnXYaf78,0.014184397,2,141
55,3,ezYcErNHfRWzJMZmj,0.053254438,9,169
55,4,BvT463LvyXwns2Eq9,0.042654028,9,211
55,5,zr9tXvjrbYZYZzYJy,0.075675676,14,185
55,6,L6x4KXemB2mDMa6sj,0.038834951,8,206
56,0,CXTD58fuCDwTJ6FFk,0.025,1,40
56,1,orx9GCwXixDaSZR77,0.064935065,5,77
56,2,aBTMTCtuKD5R56ww4,0.042553191,6,141
56,3,Pdi3AEZErQNKNkoSx,0.041420118,7,169
56,4,derGuwa534dafHwiF,0.042654028,9,211
56,5,KKXZ43ongiASugxmE,0.016216216,3,185
56,6,amhy8jnm8GeyL42D2,0.019417476,4,206
57,0,FTSYvpv7hXigDLw56,0,0,40
57,1,QRgYRPh4hA2xKLhqa,0.038961039,3,77
57,2,mnrXF9ZtLZ4LsjaoG,0.014184397,2,141
57,3,HWs8zwWuatLsxXoZA,0.059171598,10,169
57,4,SiDt2hLXx33uim6MZ,0.042654028,9,211
57,5,TX9Evv3TEBLzRYMMF,0.064864865,12,185
57,6,CjzoSW2SzkEWsmLjd,0.048543689,10,206
58,0,7vJdNudsWXSXM92no,0.025,1,40
58,1,vyadRETGFokpzd6wk,0.025974026,2,77
58,2,c5gjHJgRK5HKQ7uMv,0.028368794,4,141
58,3,C8FcjBNZ87hZPdKzd,0.059171598,10,169
58,4,jfKGh9sMLzEzvpvin,0.033175355,7,211
58,5,wcD4fvEgGHapv37WX,0.064864865,12,185
58,6,ZboYpHZdpYnubY26n,0.063106796,13,206
59,0,mcAaNev42pfnZLJWA,0.05,2,40
59,1,safnZWvzSSaRuETGJ,0.038961039,3,77
59,2,MFPNhcrdxF8FTaitH,0.042553191,6,141
59,3,ungAQMLKT7pz7Wxnm,0.076923077,13,169
59,4,wfJ8abk28rWYGRTdQ,0.023696682,5,211
59,5,nbianDuJZpWxioWtF,0.059459459,11,185
59,6,Xppezv4fsnhjgmeAB,0.077669903,16,206
60,0,LyMM3r8cqhuq6Hjmi,0.025,1,40
60,1,NFy6JTKbP2unakQtF,0.064935065,5,77
60,2,Nx7mRp8oWYps3349i,0.035460993,5,141
60,3,5DMhCKArv6v3FTNY3,0.065088757,11,169
60,4,B25T9MMpcAE59axAe,0.042654028,9,211
60,5,6sFvHpfDEdviXc6PT,0.086486486,16,185
60,6,HBqdJ56dKJE7LLxNg,0.04368932,9,206
61,0,mQtDzFGRBrjRZ9z5k,0.025,1,40
61,1,aXuxyEjpj3Epv7JqE,0.038961039,3,77
61,2,aFzGiNBiwmzwP4ryX,0.056737589,8,141
61,3,ncn4Ji3snQTBXCxoL,0.035502959,6,169
61,4,TCTdNDsbPDd7Ponrh,0.085308057,18,211
61,5,FX7cWcx3WN6aqwJPw,0.048648649,9,185
61,6,bQDBHYnqddH9NXKLM,0.067961165,14,206
62,0,4zjLwdD9NAc3CTbwK,0.025,1,40
62,1,nuT5mkzBhbXbkvanK,0,0,77
62,2,baop3SyNKWvzncyjf,0.014184397,2,141
62,3,4dexY2CymTuSLNubG,0.01183432,2,169
62,4,b2XoYYtNPvLf2tLCC,0.014218009,3,211
62,5,DPLrhvPh5an8TnEnY,0.032432432,6,185
62,6,LLSjA92ojGrq3YsLt,0.024271845,5,206
63,0,LnEwA3HuncEEdYLo9,0,0,40
63,1,9yx3AqmvphmGJH9qB,0.012987013,1,77
63,2,nvn9M78k3MNdZCtTt,0.014184397,2,141
63,3,JDk3SyixsXmWtiLYg,0.035502959,6,169
63,4,GtA49pK8QFZsZwHEH,0.018957346,4,211
63,5,c5Rw3zcc3HR66LzMH,0.010810811,2,185
63,6,hQexTJhKejWPDu7R7,0.014563107,3,206
64,0,rbAj4Z6cjjRziM8wz,0,0,40
64,1,T9wyipDGT95QDS4vW,0,0,77
64,2,vbKrfdXhCFrrBxHWR,0,0,141
64,3,WFT7zcKdDprvmgnRu,0.017751479,3,169
64,4,7HZyjXCKxx9KaLAXZ,0.014218009,3,211
64,5,fcNQZbxMKFRGup2RK,0.021621622,4,185
64,6,5RYAGfgrHuaotKuRk,0.004854369,1,206
65,0,5qQSCxH5fK4y8NmXB,0,0,40
65,1,kDb572djAnN94D9EA,0.012987013,1,77
65,2,t6seYc9jg8TBLeRaS,0.014184397,2,141
65,3,aiCxpDrT8vNzLDokr,0.017751479,3,169
65,4,XRc5BJ5rjkKngQp58,0.009478673,2,211
65,5,TMWK5zpvqsZXoiL5M,0,0,185
