user_id,reading_id,performance_id,relative_difficulty,unknown_count,unique_word_count,total_count,flesch_kincaid
37,4,t5WxQwbiTKnoWPJZi,0.08056872037914692,17,211,42,67.15
37,5,dGwRQuhfrEtAmJveA,0.032432432432432434,6,185,42,64.71
37,6,fxqCtsZ5vgRxc3SZz,0.04854368932038835,10,206,42,69.75
38,0,hP5BqyqmE7eZXRyYX,0.025,1,40,29,124.4
38,1,Mk8cxHgHMyiu7KMMW,0.025974025974025976,2,77,29,89.75
38,2,zfBynuTanXvx4i8QH,0.0070921985815602835,1,141,29,61.22
38,3,32HLcWkr48k729cet,0.023668639053254437,4,169,29,60.31
38,4,QKSh4kYGhhrAjrCmu,0.02843601895734597,6,211,29,67.15
38,5,q6Fs3BwhcmaMFHeGC,0.02702702702702703,5,185,29,64.71
38,6,H3t5PbvaMYus4W9jM,0.04854368932038835,10,206,29,69.75
39,0,u8arzGo3dH3oFT4Yu,0.0,0,40,16,124.4
39,1,vsvbRFKFKCmPHLsBe,0.012987012987012988,1,77,16,89.75
39,2,hhtJWJtaxNgKiHvBH,0.0070921985815602835,1,141,16,61.22
39,3,JH3wYFmpD77b35vLR,0.01775147928994083,3,169,16,60.31
39,4,P6dH2kdTPiqmQQgn6,0.03317535545023697,7,211,16,67.15
39,5,EKuwnC9qr4KoPQWjC,0.010810810810810811,2,185,16,64.71
39,6,Ffyg5Ms7PMBn89ifa,0.009708737864077669,2,206,16,69.75
40,0,sdgrrYJTFocEMyaLu,0.025,1,40,40,124.4
40,1,M3swQdH6fcvbz39oZ,0.0,0,77,40,89.75
40,2,su6N8Xhc4wex7Q7oc,0.014184397163120567,2,141,40,61.22
40,3,jNyAN5QC9jksYmies,0.047337278106508875,8,169,40,60.31
40,4,X69KcBzpndXiCx6v4,0.037914691943127965,8,211,40,67.15
40,5,2uGZTsiFE87JHh3Wa,0.032432432432432434,6,185,40,64.71
40,6,8Rp2jhQYBzr5nFczw,0.07281553398058252,15,206,40,69.75
41,0,LiiWpuTvnmvWWrq5h,0.025,1,40,34,124.4
41,1,X3vkcRoxeErWK4cSS,0.03896103896103896,3,77,34,89.75
41,2,8q3uqM7Bt2cuSXYX5,0.0070921985815602835,1,141,34,61.22
41,3,mc6ifbGsq2paXad8f,0.005917159763313609,1,169,34,60.31
41,4,ir6AB63JRfMoKRttN,0.023696682464454975,5,211,34,67.15
41,5,jPRpu9RYRsLCJ3Hc2,0.05945945945945946,11,185,34,64.71
41,6,yrxeYstg2WE6o6LHm,0.05825242718446602,12,206,34,69.75
42,0,cMXQTxNbCsqfTqEk7,0.025,1,40,38,124.4
42,1,FfHnshmCb5uBFDJGH,0.03896103896103896,3,77,38,89.75
42,2,RmB7euBpgpBjTFhpj,0.014184397163120567,2,141,38,61.22
42,3,hkP7FZ3Yd9zHttgqr,0.029585798816568046,5,169,38,60.31
42,4,5DNDerbb2Ztf9AtxL,0.018957345971563982,4,211,38,67.15
42,5,67PKNM3eRAJJk8at8,0.07567567567567568,14,185,38,64.71
42,6,aNWszqrjg5uaXB57J,0.043689320388349516,9,206,38,69.75
43,0,FTuxXZ9jjWJFjyCEW,0.025,1,40,62,124.4
43,1,QMmp7xsojLG3LYfCM,0.07792207792207792,6,77,62,89.75
43,2,w5fDZ4mEs8kJcEFyH,0.0425531914893617,6,141,62,61.22
43,3,MF4TwENzZ9tqxgZRW,0.13609467455621302,23,169,62,60.31
43,4,rymgPjmrKr7Kum6rp,0.04739336492890995,10,211,62,67.15
43,5,Kqt7Hrm8nZh3Y9E3y,0.043243243243243246,8,185,62,64.71
43,6,JqDf9XK6axAnfDKrD,0.038834951456310676,8,206,62,69.75
